2020-08-03 03:51:38,810 INFO     [server] New CLIENT: "user0" from ('127.0.0.1', 8196)
2020-08-03 03:51:39,011 DEBUG    [server] function "receive_message" called from "read_requests", params = (<socket.socket fd=620, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 8196)>, <Logger server (DEBUG)>), {}
2020-08-03 03:51:39,011 INFO     [server] <- Received message from ('127.0.0.1', 8196): {'action': 'get_contacts', 'time': 1596415898, 'user_login': 'user0'}
2020-08-03 03:51:39,012 DEBUG    [server] function "send_contacts" called from "read_requests", params = (<Server(Thread-1, started daemon 7880)>, <socket.socket fd=620, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 8196)>), {}
2020-08-03 03:51:39,016 DEBUG    [server] function "send_message" called from "send_contacts", params = ({'response': 202, 'alert': ['user1']}, <socket.socket fd=620, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 8196)>, <Logger server (DEBUG)>), {}
2020-08-03 03:51:39,016 INFO     [server] -> Sent message to ('127.0.0.1', 8196): {'response': 202, 'alert': ['user1']}
2020-08-03 03:52:46,077 DEBUG    [server] function "check_settings" called from "<module>", params = (['-a', '127.0.0.1', '-p', '7777'],), {}
2020-08-03 03:52:46,079 DEBUG    [server] function "parse_cli_flags" called from "check_settings", params = (['-a', '127.0.0.1', '-p', '7777'],), {}
2020-08-03 03:52:46,171 INFO     [server] Listening on "127.0.0.1":7777
2020-08-03 03:52:52,429 DEBUG    [server] function "receive_message" called from "run", params = (<socket.socket fd=1076, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 8225)>, <Logger server (DEBUG)>), {}
2020-08-03 03:52:52,430 INFO     [server] <- Received message from ('127.0.0.1', 8225): {'action': 'presence', 'time': 1596415972, 'type': 'status', 'user': {'account_name': 'user0', 'status': 'online'}}
2020-08-03 03:52:52,431 DEBUG    [server] function "check_presence" called from "run", params = ({'action': 'presence', 'time': 1596415972, 'type': 'status', 'user': {'account_name': 'user0', 'status': 'online'}},), {}
2020-08-03 03:52:52,455 DEBUG    [server] function "send_response" called from "run", params = (<Server(Thread-6, started daemon 15520)>, {'action': 'presence', 'time': 1596415972, 'type': 'status', 'user': {'account_name': 'user0', 'status': 'online'}}, <socket.socket fd=1076, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 8225)>), {}
2020-08-03 03:52:52,456 DEBUG    [server] function "process_action" called from "send_response", params = ({'action': 'presence', 'time': 1596415972, 'type': 'status', 'user': {'account_name': 'user0', 'status': 'online'}},), {}
2020-08-03 03:52:52,457 DEBUG    [server] function "form_response" called from "send_response", params = (200,), {}
2020-08-03 03:52:52,457 DEBUG    [server] Formed response: {'response': 200, 'time': 1596415972, 'alert': 'OK'}
2020-08-03 03:52:52,458 DEBUG    [server] function "send_message" called from "send_response", params = ({'response': 200, 'time': 1596415972, 'alert': 'OK'}, <socket.socket fd=1076, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 8225)>, <Logger server (DEBUG)>), {}
2020-08-03 03:52:52,459 INFO     [server] -> Sent message to ('127.0.0.1', 8225): {'response': 200, 'time': 1596415972, 'alert': 'OK'}
2020-08-03 03:52:52,459 INFO     [server] New CLIENT: "user0" from ('127.0.0.1', 8225)
2020-08-03 03:52:52,660 DEBUG    [server] function "receive_message" called from "read_requests", params = (<socket.socket fd=1076, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 8225)>, <Logger server (DEBUG)>), {}
2020-08-03 03:52:52,661 INFO     [server] <- Received message from ('127.0.0.1', 8225): {'action': 'get_contacts', 'time': 1596415972, 'user_login': 'user0'}
2020-08-03 03:52:52,662 DEBUG    [server] function "send_contacts" called from "read_requests", params = (<Server(Thread-6, started daemon 15520)>, <socket.socket fd=1076, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 8225)>), {}
2020-08-03 03:54:15,071 DEBUG    [server] function "send_message" called from "send_contacts", params = ({'response': 202, 'alert': ['user1']}, <socket.socket fd=1076, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 8225)>, <Logger server (DEBUG)>), {}
2020-08-03 03:54:15,071 INFO     [server] -> Sent message to ('127.0.0.1', 8225): {'response': 202, 'alert': ['user1']}
2020-08-03 04:00:21,548 DEBUG    [server] function "check_settings" called from "<module>", params = (['-a', '127.0.0.1', '-p', '7777'],), {}
2020-08-03 04:00:21,549 DEBUG    [server] function "parse_cli_flags" called from "check_settings", params = (['-a', '127.0.0.1', '-p', '7777'],), {}
2020-08-03 04:00:21,596 INFO     [server] Listening on "127.0.0.1":7777
2020-08-03 04:00:24,318 DEBUG    [server] function "receive_message" called from "run", params = (<socket.socket fd=816, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 8399)>, <Logger server (DEBUG)>), {}
2020-08-03 04:00:24,319 INFO     [server] <- Received message from ('127.0.0.1', 8399): {'action': 'presence', 'time': 1596416424, 'type': 'status', 'user': {'account_name': 'user0', 'status': 'online'}}
2020-08-03 04:00:24,320 DEBUG    [server] function "check_presence" called from "run", params = ({'action': 'presence', 'time': 1596416424, 'type': 'status', 'user': {'account_name': 'user0', 'status': 'online'}},), {}
2020-08-03 04:00:24,340 DEBUG    [server] function "send_response" called from "run", params = (<Server(Thread-1, started daemon 27516)>, {'action': 'presence', 'time': 1596416424, 'type': 'status', 'user': {'account_name': 'user0', 'status': 'online'}}, <socket.socket fd=816, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 8399)>), {}
2020-08-03 04:00:24,341 DEBUG    [server] function "process_action" called from "send_response", params = ({'action': 'presence', 'time': 1596416424, 'type': 'status', 'user': {'account_name': 'user0', 'status': 'online'}},), {}
2020-08-03 04:00:24,341 DEBUG    [server] function "form_response" called from "send_response", params = (200,), {}
2020-08-03 04:00:24,341 DEBUG    [server] Formed response: {'response': 200, 'time': 1596416424, 'alert': 'OK'}
2020-08-03 04:00:24,342 DEBUG    [server] function "send_message" called from "send_response", params = ({'response': 200, 'time': 1596416424, 'alert': 'OK'}, <socket.socket fd=816, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 8399)>, <Logger server (DEBUG)>), {}
2020-08-03 04:00:24,342 INFO     [server] -> Sent message to ('127.0.0.1', 8399): {'response': 200, 'time': 1596416424, 'alert': 'OK'}
2020-08-03 04:00:24,342 INFO     [server] New CLIENT: "user0" from ('127.0.0.1', 8399)
2020-08-03 04:00:24,543 DEBUG    [server] function "receive_message" called from "read_requests", params = (<socket.socket fd=816, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 8399)>, <Logger server (DEBUG)>), {}
2020-08-03 04:00:24,543 INFO     [server] <- Received message from ('127.0.0.1', 8399): {'action': 'get_contacts', 'time': 1596416424, 'user_login': 'user0'}
2020-08-03 04:00:24,544 DEBUG    [server] function "send_contacts" called from "read_requests", params = (<Server(Thread-1, started daemon 27516)>, <socket.socket fd=816, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 8399)>), {}
